,address,lng,lat
467,1030 41ST STREET,-73.9933981,40.6428979
468,1230 42ND STREET,-82.5461657,27.3706941
469,1220 42ND STREET,-73.98972909999999,40.6397499
470,1200 42ND ST,-121.4518001,38.5668924
471,4210 12TH AVENUE,-75.91526499999999,40.40210500000001
472,1260 42ND STREET,-80.10567010000001,26.2825705
473,1260 42,-89.1945033,31.3502306
474,1450 45TH STREET,-73.9864693,40.6349563
475,1030 46TH STREET,-73.9963515,40.6400799
476,1150 46TH STREET,-81.529343,39.3299717
477,4700 11TH AVENUE,-93.2590946,44.917753
478,1240 47TH STREET,-73.99224269999999,40.6366935
479,1350 49TH STREET,-76.9323466,38.9084473
480,1330 48TH STREET,-122.5079025,37.7615766
481,820 49TH STREET,-122.3672768,47.66455329999999
482,5400 14TH AVENUE,-73.9928339,40.6308924
483,1070 39TH STREET,-88.01201929999999,41.81706579999999
484,3910 13TH AVENUE,-73.98690549999999,40.6405675
485,3920 14TH AVENUE,-122.3144868,47.56838519999999
486,1260 38 STREET,-93.27546339999999,37.2092962
487,1350 39TH STREET,-73.98521819999999,40.6396612
488,10 PARKVILLE AVENUE,-73.9770935,40.6280368
489,1620 61ST STREET,-73.9919451,40.6238222
490,1630 61ST STREET,-73.9918197,40.6235685
491,830 64TH STREET,-118.2881769,33.9808109
492,840 64TH STREET,-118.288451,33.9808226
493,840 57TH STREET,-74.00692099999999,40.636394
494,830 58TH STREET,-122.271543,37.8435569
495,3720 FORT HAMILTON PKWY,-73.98983679999999,40.6439837
496,5310 21ST AVENUE,-82.7059013,27.7908493
497,1430 65TH STREET,-73.998719,40.62395799999999
498,1550 63RD STREET,-87.6638569,41.77973799999999
499,1630 63 STREET,-88.0243472,41.7729854
500,1410 64 STREET,-122.4094444,47.1987562
501,1210 36TH STREET,-76.59812240000001,39.3319207
502,1310 43RD STREET,-74.0294591,40.7807374
503,1420 49TH STREET,-87.59108959999999,41.8060455
504,50 BRIGHTON 2 PATH,0.0,0.0
505,2960 BRIGHTON 3 STREET,-73.9650546,40.5793593
506,0 BRIGHTON 7 LANE,-0.137163,50.82253000000001
507,30 BRIGHTON 8 PLACE,-73.9605126,40.580318
508,40 CORBIN PLACE,-73.955151,40.580951
509,120 OCEAN VIEW AVENUE,-73.9670934,40.5783101
510,2800 OCEAN PARKWAY,-73.9682183,40.5828631
511,380 NEPTUNE AVENUE,-73.966548,40.58026
512,30 BRIGHTON 2 PLACE,-73.9662498,40.5792448
513,2940 BRIGHTON 4 STREET,-73.9645652,40.5800311
514,2940 BRIGHTON 4TH STREET,-73.9645652,40.5800311
515,2960 BRIGHTON 6 STREET,-73.9625633,40.57992610000001
516,3040 BRIGHTON 2 STREET,-73.9656699,40.5778757
517,3010 BRIGHTON 6 STREET,-73.96236189999999,40.5792679
518,3010 BRIGHTON 6TH STREET,-73.96236189999999,40.5792679
519,3030 BRIGHTON 6 STREET,-73.962205,40.578774
520,3030 BRIGHTON 6TH STREET,-73.962205,40.578774
521,150 OCEANA DRIVE WEST,-73.95834599999999,40.5770098
